row_index,season,window,transfer_type,player_name,player_url,team_name,club_2,country_2,league_2,country,league,transfer_fee,is_loan,transfer_notes,why_missing
4697,2010,Winter,Departures,Cosmin Contra,https://www.transfermarkt.com/cosmin-contra/profil/spieler/5808,Politehnica Timisoara (- 2012),,,,,,,False,-,club_2 is empty/null
5147,2010,Summer,Departures,Alexis Ngambi,https://www.transfermarkt.com/alexis-ngambi/profil/spieler/5616,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
5176,2010,Winter,Departures,Gheorghe Rohat,https://www.transfermarkt.com/gheorghe-rohat/profil/spieler/48896,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
5210,2010,Summer,Departures,Sorin Iodi,https://www.transfermarkt.com/sorin-iodi/profil/spieler/54737,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
5237,2010,Winter,Departures,Miguel De Pina,https://www.transfermarkt.com/miguel-de-pina/profil/spieler/156856,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
5271,2010,Summer,Departures,Flavius Moldovan,https://www.transfermarkt.com/flavius-moldovan/profil/spieler/35432,AS Ardealul Tg. Mures (- 2018),,,,,,,False,-,club_2 is empty/null
5294,2010,Winter,Departures,Calin Tarnavean,https://www.transfermarkt.com/calin-tarnavean/profil/spieler/46664,AS Ardealul Tg. Mures (- 2018),,,,,,,False,-,club_2 is empty/null
5333,2010,Summer,Departures,Marius Măldărășanu,https://www.transfermarkt.com/marius-maldarasanu/profil/spieler/34507,FC Brasov (- 2017),,,,,,,False,-,club_2 is empty/null
5620,2011,Summer,Departures,Abel Valdez,https://www.transfermarkt.com/abel-valdez/profil/spieler/126034,Astra Giurgiu (- 2024),,,,,,,False,?,club_2 is empty/null
5729,2011,Summer,Departures,Marius Popa,https://www.transfermarkt.com/marius-popa/profil/spieler/25941,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
5731,2011,Summer,Departures,Bogdan Buhus,https://www.transfermarkt.com/bogdan-buhus/profil/spieler/26641,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
5732,2011,Summer,Departures,Matteo Bonatti,https://www.transfermarkt.com/matteo-bonatti/profil/spieler/41919,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
5806,2011,Summer,Departures,Raúl Martín,https://www.transfermarkt.com/raul-martin/profil/spieler/16123,Gaz Metan Medias (- 2022),,,,,,,False,-,club_2 is empty/null
5846,2011,Summer,Departures,Gabriel Kajcsa,https://www.transfermarkt.com/gabriel-kajcsa/profil/spieler/64178,FC Brasov (- 2017),,,,,,,False,-,club_2 is empty/null
6017,2011,Summer,Departures,Ilie Poenaru,https://www.transfermarkt.com/ilie-poenaru/profil/spieler/46627,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
6018,2011,Summer,Departures,Laurentiu Dinita,https://www.transfermarkt.com/laurentiu-dinita/profil/spieler/26493,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
6058,2011,Winter,Departures,Petre Marin,https://www.transfermarkt.com/petre-marin/profil/spieler/26498,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
6060,2011,Winter,Departures,Eugen Trică,https://www.transfermarkt.com/eugen-trica/profil/spieler/26299,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
6155,2011,Summer,Departures,Romeo Stancu,https://www.transfermarkt.com/romeo-stancu/profil/spieler/35442,CS Mioveni,,,,,,,False,-,club_2 is empty/null
6167,2011,Winter,Departures,Iulian Mihai Ilie,https://www.transfermarkt.com/iulian-mihai-ilie/profil/spieler/56157,CS Mioveni,,,,,,0.0,False,,club_2 is empty/null
6322,2012,Summer,Departures,Pompiliu Stoica,https://www.transfermarkt.com/pompiliu-stoica/profil/spieler/25660,Petrolul Ploiesti,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6325,2012,Summer,Departures,Florentin Dumitru,https://www.transfermarkt.com/florentin-dumitru/profil/spieler/26495,Petrolul Ploiesti,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6429,2012,Summer,Departures,Radek Oprsal,https://www.transfermarkt.com/radek-oprsal/profil/spieler/48680,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
6430,2012,Summer,Departures,Ben Teekloh,https://www.transfermarkt.com/ben-teekloh/profil/spieler/48197,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
6590,2012,Winter,Departures,Marius Bilașco,https://www.transfermarkt.com/marius-bilasco/profil/spieler/46505,FC Rapid 1923,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6593,2012,Winter,Departures,Ovidiu Burcă,https://www.transfermarkt.com/ovidiu-burca/profil/spieler/26028,FC Rapid 1923,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6647,2012,Winter,Departures,Gabriel Viglianti,https://www.transfermarkt.com/gabriel-viglianti/profil/spieler/69455,SC Otelul Galati,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6703,2012,Summer,Arrivals,Gabriel Boștină,https://www.transfermarkt.com/gabriel-bostina/profil/spieler/26489,CS Turnu-Severin (- 2013),,,,,,,False,-,club_2 is empty/null
6813,2012,Summer,Departures,Nicola Ascoli,https://www.transfermarkt.com/nicola-ascoli/profil/spieler/24290,FC Universitatea Cluj,,,,Romania,SuperLiga,0.0,False,,club_2 is empty/null
6834,2012,Summer,Departures,Gabriel Boștină,https://www.transfermarkt.com/gabriel-bostina/profil/spieler/26489,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6836,2012,Summer,Departures,Claudiu Niculescu,https://www.transfermarkt.com/claudiu-niculescu/profil/spieler/26049,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6868,2012,Winter,Departures,Roberto Iancu,https://www.transfermarkt.com/roberto-iancu/profil/spieler/25934,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6869,2012,Winter,Departures,Alex Bráz,https://www.transfermarkt.com/alex-braz/profil/spieler/76066,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6913,2012,Summer,Departures,Liviu Ștefan,https://www.transfermarkt.com/liviu-stefan/profil/spieler/213721,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6914,2012,Summer,Departures,Catalin Popa,https://www.transfermarkt.com/catalin-popa/profil/spieler/208817,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6915,2012,Summer,Departures,Nicolae Hertu,https://www.transfermarkt.com/nicolae-hertu/profil/spieler/164250,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6916,2012,Summer,Departures,Robert Lupu,https://www.transfermarkt.com/robert-lupu/profil/spieler/164270,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
6936,2012,Winter,Departures,Vasile Păcuraru,https://www.transfermarkt.com/vasile-pacuraru/profil/spieler/46614,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
7067,2012,Winter,Departures,Valentin Simion,https://www.transfermarkt.com/valentin-simion/profil/spieler/34760,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
7166,2012,Winter,Departures,Florin Bratu,https://www.transfermarkt.com/florin-bratu/profil/spieler/9710,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
7168,2012,Winter,Departures,Valentin Năstase,https://www.transfermarkt.com/valentin-nastase/profil/spieler/28024,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
7183,2012,Summer,Departures,Yamoudou Camara,https://www.transfermarkt.com/yamoudou-camara/profil/spieler/56776,ACSM Politehnica Iasi,,,,Romania,Liga 2,,False,-,club_2 is empty/null
7349,2013,Winter,Departures,Ionel Dănciulescu,https://www.transfermarkt.com/ionel-danciulescu/profil/spieler/19405,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
7396,2013,Summer,Departures,Cristian Panin,https://www.transfermarkt.com/cristian-panin/profil/spieler/43350,CFR Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
7515,2013,Summer,Departures,Denis Zmeu,https://www.transfermarkt.com/denis-zmeu/profil/spieler/48799,FC Vaslui (- 2014),,,,,,,False,-,club_2 is empty/null
7516,2013,Summer,Departures,Bamba Drissa,https://www.transfermarkt.com/bamba-drissa/profil/spieler/127345,FC Vaslui (- 2014),,,,,,,False,-,club_2 is empty/null
7641,2013,Winter,Departures,Sorin Ghionea,https://www.transfermarkt.com/sorin-ghionea/profil/spieler/26496,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
7718,2013,Winter,Departures,Nicolae Mitea,https://www.transfermarkt.com/nicolae-mitea/profil/spieler/7433,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
7755,2013,Summer,Departures,Roy Odiaka,https://www.transfermarkt.com/roy-odiaka/profil/spieler/244983,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
7775,2013,Winter,Departures,Habib Baldé,https://www.transfermarkt.com/habib-balde/profil/spieler/57351,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
7887,2013,Summer,Departures,Mihai Stere,https://www.transfermarkt.com/mihai-stere/profil/spieler/123738,ACS FC Brasov Steagu Renaste (- 2024),,,,,,,False,-,club_2 is empty/null
7986,2013,Summer,Departures,Theo Samata,https://www.transfermarkt.com/theo-samata/profil/spieler/208820,Sageata Navodari (- 2015),,,,,,,False,-,club_2 is empty/null
8105,2014,Summer,Departures,Dănuț Coman,https://www.transfermarkt.com/danut-coman/profil/spieler/34501,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
8311,2016,Summer,Departures,Houssine Kharja,https://www.transfermarkt.com/houssine-kharja/profil/spieler/21822,FCSB,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8335,2014,Summer,Departures,Paraskevas Christou,https://www.transfermarkt.com/paraskevas-christou/profil/spieler/48933,Pandurii Targu Jiu (- 2022),,,,,,,False,-,club_2 is empty/null
8391,2014,Summer,Departures,Nicolae Dică,https://www.transfermarkt.com/nicolae-dica/profil/spieler/15004,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8451,2014,Winter,Departures,Mihăiță Pleșan,https://www.transfermarkt.com/mihaita-plesan/profil/spieler/26683,CS Universitatea Craiova,,,,Romania,SuperLiga,0.0,False,,club_2 is empty/null
8514,2014,Winter,Departures,Valentin Negru,https://www.transfermarkt.com/valentin-negru/profil/spieler/35439,FC Rapid 1923,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8544,2014,Summer,Departures,Didi,https://www.transfermarkt.com/didi/profil/spieler/24733,AS Ardealul Tg. Mures (- 2018),,,,,,,False,-,club_2 is empty/null
8602,2014,Summer,Departures,Aurimas Vertelis,https://www.transfermarkt.com/aurimas-vertelis/profil/spieler/120048,FC Botosani,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8605,2014,Summer,Departures,Valeriu Bordeanu,https://www.transfermarkt.com/valeriu-bordeanu/profil/spieler/25848,FC Botosani,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8654,2014,Summer,Departures,Zsolt Szilagyi,https://www.transfermarkt.com/zsolt-szilagyi/profil/spieler/156900,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8658,2014,Summer,Departures,Alin Ratiu,https://www.transfermarkt.com/alin-ratiu/profil/spieler/56041,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8681,2014,Winter,Departures,Vladimir Niculescu,https://www.transfermarkt.com/vladimir-niculescu/profil/spieler/64207,FC Universitatea Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
8825,2014,Winter,Departures,Olberdam,https://www.transfermarkt.com/olberdam/profil/spieler/33537,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
8898,2014,Summer,Departures,Raul Gaspar,https://www.transfermarkt.com/raul-gaspar/profil/spieler/281049,Gaz Metan Medias (- 2022),,,,,,,False,-,club_2 is empty/null
9103,2015,Winter,Departures,Sergiu Ungurean,https://www.transfermarkt.com/sergiu-ungurean/profil/spieler/278951,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
